Date,Year,Month,Day,Daily_Rainfall_Total_mm,Highest_30_Min_Rainfall_mm,Highest_60_Min_Rainfall_mm,Highest_120_Min_Rainfall_mm,Mean_Temperature_C,Maximum_Temperature_C,Minimum_Temperature_C,Mean_Wind_Speed_kmh,Max_Wind_Speed_kmh
1999_01_01,1999,1,1,4.223076923,0,0,0,25,29.62,22.28,6.9,28.8
1999_01_02,1999,1,2,1.534615385,0,0,0,24.25,25.38,23.24,8.58,23
1999_01_03,1999,1,3,0.619230769,0,0,0,25.375,28.8,23.08,10.26,32.4
1999_01_04,1999,1,4,9.619230769,0,0,0,25.625,30.6,22.84,8.1,29.2
1999_01_05,1999,1,5,22.29230769,0,0,0,25.6,30.76,23.44,6.04,27
1999_01_06,1999,1,6,34.81923077,0,0,0,25.9,31.54,23.16,8.78,29.9
1999_01_07,1999,1,7,0.526923077,0,0,0,26.1,29.6,23.58,11.24,31.7
1999_01_08,1999,1,8,2.315384615,0,0,0,26.425,30.3,23.74,11.28,30.6
1999_01_09,1999,1,9,39.22692308,0,0,0,25.825,30.5,23.48,11.26,32.8
1999_01_10,1999,1,10,0.219230769,0,0,0,24.825,26.76,22.56,8.2,42.1
1999_01_11,1999,1,11,11.38461538,0,0,0,26.45,31.6,22.82,10.56,28.4
1999_01_12,1999,1,12,19.41923077,0,0,0,26.8,31.86,23.76,9.6,29.5
1999_01_13,1999,1,13,0.865384615,0,0,0,27.15,31.74,24.24,11.8,33.8
1999_01_14,1999,1,14,2.323076923,0,0,0,27.4,32.34,23.94,9.9,30.2
1999_01_15,1999,1,15,0.480769231,0,0,0,27.25,31.08,24.26,12.54,39.6
1999_01_16,1999,1,16,9.919230769,0,0,0,26.7,30.94,24.3,12.52,40.3
1999_01_17,1999,1,17,13.65384615,0,0,0,26.55,30.82,24.16,12.44,38.5
1999_01_18,1999,1,18,1.619230769,0,0,0,26.05,30.22,23.14,12,34.2
1999_01_19,1999,1,19,6.911538462,0,0,0,26.375,30.56,23.66,11.72,34.2
1999_01_20,1999,1,20,3.292307692,0,0,0,26.225,29.16,23.76,9.1,34.6
1999_01_21,1999,1,21,5.161538462,0,0,0,26.45,30.72,23.5,11.32,47.2
1999_01_22,1999,1,22,3.580769231,0,0,0,26.55,30.44,23.72,8.82,28.8
1999_01_23,1999,1,23,29.18461538,0,0,0,25.975,31.46,23.66,7.06,27
1999_01_24,1999,1,24,26.95384615,0,0,0,26.075,32.48,23.4,7.52,39.6
1999_01_25,1999,1,25,0.357692308,0,0,0,25.45,28.32,23.66,8.3,25.2
1999_01_26,1999,1,26,0,0,0,0,26.85,31.28,24.06,8.1,24.1
1999_01_27,1999,1,27,0.007692308,0,0,0,27.425,31.34,24.2,7.26,23.8
1999_01_28,1999,1,28,12.03846154,0,0,0,27.1,31.58,24.46,7.1,55.4
1999_01_29,1999,1,29,1.434615385,0,0,0,27.075,31.26,24.16,5.2,27
1999_01_30,1999,1,30,0.096153846,0,0,0,27.55,31.74,24.62,6.1,36
1999_01_31,1999,1,31,0,0,0,0,28.175,33.46,24.24,9.12,24.1
1999_02_01,1999,2,1,0,0,0,0,28.175,32.28,25.06,7.22,22
1999_02_02,1999,2,2,22.98846154,0,0,0,27.15,33.96,22.86,8.78,37.8
